Date,Ticker,Open,High,Low,Close,Volume,Openint,Close_Percent_Change,Period_Change
12/12/1980,AAPL,0.513392857,0.515625,0.513392857,0.513392857,9380672,,,
12/15/1980,AAPL,0.486607143,0.488839286,0.486607143,0.486607143,3517696,,-0.052173913,-0.026785714
12/16/1980,AAPL,0.450892857,0.453125,0.450892857,0.450892857,2114560,,-0.073394495,-0.035714286
12/17/1980,AAPL,0.462053571,0.464285714,0.462053571,0.462053571,1728832,,0.024752475,0.011160714
12/18/1980,AAPL,0.475446429,0.477678571,0.475446429,0.475446429,1468992,,0.028985507,0.013392857
12/19/1980,AAPL,0.504464286,0.506696429,0.504464286,0.504464286,972608,,0.061032864,0.029017857
12/22/1980,AAPL,0.529017857,0.53125,0.529017857,0.529017857,747264,,0.048672566,0.024553571
12/23/1980,AAPL,0.551339286,0.553571429,0.551339286,0.551339286,939008,,0.042194093,0.022321429
12/24/1980,AAPL,0.580357143,0.582589286,0.580357143,0.580357143,960064,,0.052631579,0.029017857
12/26/1980,AAPL,0.633928571,0.636160714,0.633928571,0.633928571,1111488,,0.092307692,0.053571429
12/29/1980,AAPL,0.642857143,0.645089286,0.642857143,0.642857143,1863232,,0.014084507,0.008928571
12/30/1980,AAPL,0.627232143,0.629464286,0.627232143,0.627232143,1377600,,-0.024305556,-0.015625
12/31/1980,AAPL,0.609375,0.611607143,0.609375,0.609375,715008,,-0.028469751,-0.017857143
1/2/1981,AAPL,0.616071429,0.620535714,0.616071429,0.616071429,433216,,0.010989011,0.006696429
1/5/1981,AAPL,0.602678571,0.604910714,0.602678571,0.602678571,714560,,-0.02173913,-0.013392857
1/6/1981,AAPL,0.575892857,0.578125,0.575892857,0.575892857,903168,,-0.044444444,-0.026785714
1/7/1981,AAPL,0.551339286,0.553571429,0.551339286,0.551339286,1113728,,-0.042635659,-0.024553571
1/8/1981,AAPL,0.540178571,0.542410714,0.540178571,0.540178571,796544,,-0.020242915,-0.011160714
1/9/1981,AAPL,0.569196429,0.571428571,0.569196429,0.569196429,430080,,0.053719008,0.029017857
1/12/1981,AAPL,0.564732143,0.569196429,0.564732143,0.564732143,473984,,-0.007843137,-0.004464286
1/13/1981,AAPL,0.544642857,0.546875,0.544642857,0.544642857,460992,,-0.035573123,-0.020089286
1/14/1981,AAPL,0.546875,0.549107143,0.546875,0.546875,285824,,0.004098361,0.002232143
1/15/1981,AAPL,0.558035714,0.5625,0.558035714,0.558035714,281344,,0.020408163,0.011160714
1/16/1981,AAPL,0.553571429,0.555803571,0.553571429,0.553571429,267904,,-0.008,-0.004464286
1/19/1981,AAPL,0.587053571,0.589285714,0.587053571,0.587053571,831488,,0.060483871,0.033482143
1/20/1981,AAPL,0.569196429,0.571428571,0.569196429,0.569196429,601664,,-0.030418251,-0.017857143
1/21/1981,AAPL,0.580357143,0.584821429,0.580357143,0.580357143,318080,,0.019607843,0.011160714
1/22/1981,AAPL,0.587053571,0.591517857,0.587053571,0.587053571,710976,,0.011538462,0.006696429
1/23/1981,AAPL,0.584821429,0.589285714,0.584821429,0.584821429,224448,,-0.003802281,-0.002232143
1/26/1981,AAPL,0.575892857,0.578125,0.575892857,0.575892857,492800,,-0.015267176,-0.008928571
1/27/1981,AAPL,0.571428571,0.575892857,0.571428571,0.571428571,473984,,-0.007751938,-0.004464286
